serial_no,loglevel,status,inscript,dhatu.pada,dhatu.gaRa,lakshana,dhatu_mod,krt_pratyaya,mod_krt_pratyaya,pratyaya,exp_result,outscript,sutras
1,0,,DEVANAGARI,ऋधुँ ,दिवादि,ऋधुँ  वृद्धौ,ऋध्  ,क्यप्,य,क्यप्,ऋध्य,SLP1,"13002, 31110, 13003, 13008, 11005"
2,0,,DEVANAGARI,भिक्षँ,भ्वादि,भिक्षँ भिक्षायामलाभे लाभे च,भिक्ष्,उ,उ,उ,भिक्षु,SLP1,"13002, 32168"
3,0,,DEVANAGARI,ग्रहँ,क्र्यादि,ग्रहँ उपादाने,ग्रह्,णिनिँ,इन्,णिनिँ,ग्राहिन्,SLP1,"13002, 31134, 13002, 13007, 72116"
4,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,शानन्,आन,शानन्,पवमान,SLP1,"13003, 32128, 13003, 13008, 31068, 13003, 13008, 73084, 61078, , 72082, 13003, 13002"
5,0,,DEVANAGARI,भुजँ,रुधादि,भुजँ पालनाभ्यवहारयोः,भुज्,चानश्,आन,चानश्,भुञ्जान,SLP1,"13002, 32129, 13007, 13008, 31078, 13003, 13008, 64111, 83024, 84058"
6,0,,DEVANAGARI,पा,भ्वादि,पा पाने,पा,श,अ,श,पिब,SLP1,"31137, 13008, 73078, 61097"
7,0,,DEVANAGARI,पा,भ्वादि,पा पाने,पा,शध्यैन्,अध्यै,शध्यैन्,पिबध्यै,SLP1,"34009, 13003, 13008, 73078, 61097"
8,0,,DEVANAGARI,णिदिँ,भ्वादि,णिदिँ कुत्सायाम्भ्वादिः,निन्द्,वुञ्,वु,वुञ्,निन्दक,SLP1,"61065, 71058, 13003, 13002, 32146, 13003, 71001"
9,0,,DEVANAGARI,ज्वलँ,भ्वादि,ज्वलँ दीप्तौ,ज्वल्,ण,अ ,ण,ज्वाल,SLP1,"13002, 31140, 13007, 72116"
10,0,,DEVANAGARI,शमुँ,दिवादि,शमुँ उपशमे,शम्,घिनुँण्,इन्,घिनुँण्,शमिन्,SLP1,"13002, 32141, 13003, 13002, 13008, 73034"
11,0,,DEVANAGARI,लषँ,भ्वादि,लषँ कान्तौ,लष्,उकञ्,उक,उकञ्,लाषुक,SLP1,"13002, 32154, 13003, 72116"
12,0,,DEVANAGARI,वा,अदादि,वा गतिगन्धनयोः,वा,उण्,उ,उण्,वायु,SLP1,"33001, 13003, 73033, 13003, 13002"
13,0,,DEVANAGARI,ष्टुञ्,अदादि,ष्टुञ् स्तुतौ,स्तु,क्यप्,य,क्यप्,स्तुत्य,SLP1,"13003, 61064, 31109, 13003, 13008, 61071, 13003, 13002"
14,0,,DEVANAGARI,नृतीँ,दिवादि,नृतीँ गात्रविक्षेपे,नृत्,ष्वुन्,वु,ष्वुन्,नर्तक,SLP1,"13002, 31145, 13003, 13006, 71001, 73086"
15,0,,DEVANAGARI,लूञ्,क्र्यादि,लूञ् छेदने,लू,वुन्,वु,वुन्,लवक,SLP1,"13003, 31149, 13003, 71001, 73084, 61078"
16,0,,DEVANAGARI,जल्पँ,भ्वादि,जल्पँ व्यक्तायां वाचि,जल्प्,षाकन्,आक,षाकन्,जल्पाक,SLP1,"13002, 32155, 13003, 13006"
17,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,तृच्,तृ,तृच्,गणयितृ,SLP1,
18,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,तव्यत्,तव्य,तव्यत्,गणयितव्य,SLP1,
19,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,यक्,य,यक्,-,SLP1,
20,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,शतृँ,अत्,शतृँ,गणयत्,SLP1,
21,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,शानच्,आन,शानच्,,SLP1,
22,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,घञ्,अ,घञ्,,SLP1,
23,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,ण्वुल्,अक,ण्वुल्,गणक,SLP1,
24,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,ण्यत्,य,ण्यत्,,SLP1,
25,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,ल्युट्,अन,ल्युट्,गणन,SLP1,
26,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,यत्,य,यत्,गण्य,SLP1,
27,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,क्त,त,क्त,गणित,SLP1,
28,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,क्तवतुँ,तवत्,क्तवतुँ,गणितवत्,SLP1,
29,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,अनीयर्,अनीय,अनीयर्,गणनीय,SLP1,
30,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,तुमुँन्,तुम्,तुमुँन्,गणयितुम्,SLP1,
31,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,णमुँल्,अम्,णमुँल्,गणम्,SLP1,
32,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,क्त्वा,त्वा,क्त्वा,गणयित्वा,SLP1,
33,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,अप्,अ,अप्,,SLP1,
34,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,अच्,अ,अच्,गण,SLP1,
35,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,युच्,अन,युच्,गणन,SLP1,
36,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,क्तिन्,ति,क्तिन्,,SLP1,
37,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,क्विँप्,वि,क्विँप्,गाण्,SLP1,
38,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,तव्य,तव्य,तव्य,गणयितव्य,SLP1,
39,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,ण्युट्,अन,ण्युट्,,SLP1,
40,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,थकन्,थक,थकन्,,SLP1,
41,0,,DEVANAGARI,गण,चुरादि,गण स॒ङ्ख्याने॑,गण,अ,अ,अ,,SLP1,
42,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,तृच्,तृ,तृच्,मातृ,SLP1,
43,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,तव्यत्,तव्य,तव्यत्,मातव्य,SLP1,
44,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,यक्,य,यक्,,SLP1,
45,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,शतृँ,अत्,शतृँ,,SLP1,
46,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,शानच्,आन,शानच्,मिमान,SLP1,
47,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,घञ्,अ,घञ्,माय,SLP1,
48,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,ण्वुल्,अक,ण्वुल्,मायक,SLP1,
49,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,ण्यत्,य,ण्यत्,,SLP1,
50,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,ल्युट्,अन,ल्युट्,मान,SLP1,
51,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,यत्,य,यत्,मेय,SLP1,
52,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,क्त,त,क्त,मित,SLP1,
53,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,क्तवतुँ,तवत्,क्तवतुँ,मितवत्,SLP1,
54,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,अनीयर्,अनीय,अनीयर्,मानीय,SLP1,
55,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,तुमुँन्,तुम्,तुमुँन्,मातुम्,SLP1,
56,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,णमुँल्,अम्,णमुँल्,मायम्,SLP1,
57,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,क्त्वा,त्वा,क्त्वा,मित्वा/मित्त्वा,SLP1,
58,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,अप्,अ,अप्,,SLP1,
59,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,अच्,अ,अच्,,SLP1,
60,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,युच्,अन,युच्,,SLP1,
61,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,क्तिन्,ति,क्तिन्,मिति,SLP1,
62,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,क्विँप्,वि,क्विँप्,-,SLP1,
63,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,तव्य,तव्य,तव्य,मातव्य,SLP1,
64,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,ण्युट्,अन,ण्युट्,,SLP1,
65,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,थकन्,थक,थकन्,,SLP1,
66,0,,DEVANAGARI,माङ्,जुहोत्यादि,माङ् माने शब्दे च,मा,अ,अ,अ,,SLP1,
67,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,तृच्,तृ,तृच्,पवितृ,SLP1,
68,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,तव्यत्,तव्य,तव्यत्,पवितव्य,SLP1,
69,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,यक्,य,यक्,,SLP1,
70,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,शतृँ,अत्,शतृँ,,SLP1,
71,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,शानच्,आन,शानच्,पवमान,SLP1,
72,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,घञ्,अ,घञ्,,SLP1,
73,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,ण्वुल्,अक,ण्वुल्,पावक,SLP1,
74,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,ण्यत्,य,ण्यत्,,SLP1,
75,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,ल्युट्,अन,ल्युट्,पावन/पवन,SLP1,
76,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,यत्,य,यत्,पव्य,SLP1,
77,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,क्त,त,क्त,पवित/पूत/पून,SLP1,
78,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,क्तवतुँ,तवत्,क्तवतुँ,पूतवत्/पूनवत्/पवितवत्,SLP1,
79,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,अनीयर्,अनीय,अनीयर्,पवनीय,SLP1,
80,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,तुमुँन्,तुम्,तुमुँन्,पवितुम्,SLP1,
81,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,णमुँल्,अम्,णमुँल्,पावम्,SLP1,
82,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,क्त्वा,त्वा,क्त्वा,पूत्त्वा/पवित्वा/पवित्त्वा,SLP1,
83,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,अप्,अ,अप्,पव,SLP1,
84,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,अच्,अ,अच्,,SLP1,
85,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,युच्,अन,युच्,,SLP1,
86,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,क्तिन्,ति,क्तिन्,पूति,SLP1,
87,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,क्विँप्,वि,क्विँप्,पू,SLP1,
88,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,तव्य,तव्य,तव्य,पवितव्य,SLP1,
89,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,ण्युट्,अन,ण्युट्,,SLP1,
90,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,थकन्,थक,थकन्,,SLP1,
91,0,,DEVANAGARI,पूङ्,भ्वादि,पूङ् पवने,पू,अ,अ,अ,,SLP1,
92,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,तृच्,तृ,तृच्,गातृ,SLP1,
93,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,तव्यत्,तव्य,तव्यत्,गातव्य,SLP1,
94,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,यक्,य,यक्,,SLP1,
95,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,शतृँ,अत्,शतृँ,गायत्,SLP1,
96,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,शानच्,आन,शानच्,,SLP1,
97,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,घञ्,अ,घञ्,गाय,SLP1,
98,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,ण्वुल्,अक,ण्वुल्,गायक,SLP1,
99,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,ण्यत्,य,ण्यत्,,SLP1,
100,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,ल्युट्,अन,ल्युट्,गान,SLP1,
101,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,यत्,य,यत्,गेय,SLP1,
102,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,क्त,त,क्त,गीत,SLP1,
103,0,,DEVANAGARI,गै,भ्वादि,गै शब्दे,गै,क्तवतुँ,तवत्,क्तवतुँ,गीतवत्,SLP1,
